42,43
42,44
43,37
43,38
43,39
43,40
43,41
43,42
43,44
44,35
44,36
44,44
44,50
44,51
44,52
44,53
44,54
44,55
44,56
44,57
45,34
45,35
45,44
45,47
45,48
45,49
45,50
45,58
46,34
46,43
46,44
46,45
46,46
46,47
46,57
46,58
47,34
47,43
47,44
47,56
47,57
48,33
48,42
48,43
48,44
48,45
48,55
48,56
49,33
49,41
49,42
49,45
49,46
49,54
49,55
50,33
50,34
50,40
50,45
50,46
50,47
50,48
50,49
50,50
50,51
50,52
50,53
50,54
51,34
51,35
51,36
51,38
51,39
51,40
51,44
51,45
52,37
52,38
52,44
53,43
53,44
54,42
54,43
55,41
55,42
